timestamp,width,height,fps,byte_rate,message_rate,frame_loss_pct,latency_avg_ms,latency_min_ms,latency_max_ms
2025-10-13_00-10-05,1920,1080,60,360774223.27,57.99,3.34,4.307,2.820,16.176
2025-10-13_00-10-06,1920,1080,60,373239136.69,60.00,0.00,3.441,2.764,5.408
2025-10-13_00-10-07,1920,1080,60,373266325.14,60.00,-0.00,3.062,2.753,3.791
2025-10-13_00-10-08,1920,1080,60,373205415.02,59.99,0.01,3.116,2.739,4.519
2025-10-13_00-10-09,1920,1080,60,373274927.68,60.00,-0.01,3.195,2.818,4.542
2025-10-13_00-10-10,1920,1080,60,373256248.96,60.00,-0.00,3.350,2.723,5.509
2025-10-13_00-10-11,1920,1080,60,373251747.82,60.00,-0.00,3.222,2.736,5.354
2025-10-13_00-10-12,1920,1080,60,373229657.63,60.00,0.00,3.330,2.794,5.416
2025-10-13_00-10-13,1920,1080,60,373253921.30,60.00,-0.00,3.161,2.743,6.560
2025-10-13_00-10-14,1920,1080,60,373219202.41,60.00,0.01,3.306,2.739,6.093
2025-10-13_00-10-15,1920,1080,60,373277116.73,60.00,-0.01,3.169,2.777,5.503
2025-10-13_00-10-16,1920,1080,60,367033188.88,59.00,1.67,3.213,2.820,5.220
2025-10-13_00-10-17,1920,1080,60,373229067.96,60.00,0.01,3.398,2.714,4.468
2025-10-13_00-10-18,1920,1080,60,373225263.12,60.00,0.01,3.374,2.784,5.241
2025-10-13_00-10-19,1920,1080,60,360832718.06,58.00,3.33,3.271,2.744,5.339
2025-10-13_00-10-20,1920,1080,60,360816389.92,58.00,3.33,3.172,2.801,4.367
2025-10-13_00-10-21,1920,1080,60,373211016.28,59.99,0.01,3.108,2.732,4.614
2025-10-13_00-10-22,1920,1080,60,373280987.59,60.01,-0.01,3.241,2.713,4.780
2025-10-13_00-10-23,1920,1080,60,373204975.81,59.99,0.01,3.246,2.746,4.564
2025-10-13_00-10-24,1920,1080,60,367057569.61,59.00,1.66,3.125,2.697,3.791
2025-10-13_00-10-25,1920,1080,60,373219843.55,60.00,0.01,3.267,2.773,5.966
2025-10-13_00-10-26,1920,1080,60,373233616.70,60.00,0.00,3.407,2.771,5.935
2025-10-13_00-10-27,1920,1080,60,373299582.54,60.01,-0.01,3.324,2.813,6.340
2025-10-13_00-10-28,1920,1080,60,373235903.05,60.00,0.00,3.581,2.788,5.431
2025-10-13_00-10-29,1920,1080,60,373258323.21,60.00,-0.00,3.165,2.772,6.270
2025-10-13_00-10-30,1920,1080,60,373231209.07,60.00,0.00,3.079,2.713,5.250
2025-10-13_00-10-31,1920,1080,60,373224727.20,60.00,0.01,3.053,2.783,3.666
2025-10-13_00-10-32,1920,1080,60,373284093.96,60.01,-0.01,3.044,2.748,3.925
2025-10-13_00-10-33,1920,1080,60,373239924.21,60.00,0.00,3.550,2.768,5.985
2025-10-13_00-10-34,1920,1080,60,367015000.79,59.00,1.67,3.283,2.771,5.757
2025-10-13_00-10-35,1920,1080,60,373234240.35,60.00,0.00,3.220,2.755,5.086
2025-10-13_00-10-36,1920,1080,60,367057663.22,59.00,1.66,3.223,2.743,5.383
2025-10-13_00-10-37,1920,1080,60,373234821.82,60.00,0.00,3.116,2.772,4.152
2025-10-13_00-10-38,1920,1080,60,373210038.57,59.99,0.01,3.220,2.730,5.991
2025-10-13_00-10-39,1920,1080,60,367074382.27,59.01,1.65,3.504,2.889,6.301
2025-10-13_00-10-40,1920,1080,60,373209253.04,59.99,0.01,3.512,2.711,6.437
2025-10-13_00-10-41,1920,1080,60,373283330.15,60.01,-0.01,3.326,2.657,5.465
2025-10-13_00-10-42,1920,1080,60,373236686.08,60.00,0.00,3.309,2.793,5.637
2025-10-13_00-10-43,1920,1080,60,373248627.80,60.00,-0.00,3.136,2.787,4.894
2025-10-13_00-10-44,1920,1080,60,373241123.78,60.00,0.00,3.759,2.841,7.315
2025-10-13_00-10-45,1920,1080,60,373250771.39,60.00,-0.00,3.197,2.729,5.017
2025-10-13_00-10-46,1920,1080,60,373218232.11,60.00,0.01,3.212,2.776,4.003
2025-10-13_00-10-47,1920,1080,60,373268822.05,60.00,-0.01,3.224,2.777,5.129
2025-10-13_00-10-48,1920,1080,60,367028830.34,59.00,1.67,3.292,2.755,6.470
2025-10-13_00-10-49,1920,1080,60,373261747.98,60.00,-0.00,3.708,2.801,6.192
2025-10-13_00-10-50,1920,1080,60,373238727.63,60.00,0.00,3.197,2.630,4.457
2025-10-13_00-10-51,1920,1080,60,373249819.22,60.00,-0.00,3.123,2.712,4.906
2025-10-13_00-10-52,1920,1080,60,367023750.34,59.00,1.67,3.196,2.786,5.793
2025-10-13_00-10-53,1920,1080,60,373197324.65,59.99,0.01,3.138,2.793,4.033
2025-10-13_00-10-54,1920,1080,60,373295561.96,60.01,-0.01,3.211,2.757,6.307
2025-10-13_00-10-55,1920,1080,60,373248323.98,60.00,-0.00,3.432,2.791,6.054
2025-10-13_00-10-56,1920,1080,60,373239790.96,60.00,0.00,3.422,2.737,5.777
2025-10-13_00-10-57,1920,1080,60,373262213.08,60.00,-0.00,3.118,2.757,5.634
2025-10-13_00-10-58,1920,1080,60,373238574.23,60.00,0.00,3.192,2.787,5.033
2025-10-13_00-10-59,1920,1080,60,373247755.90,60.00,0.00,3.143,2.831,4.466
2025-10-13_00-11-00,1920,1080,60,373254184.82,60.00,-0.00,3.430,2.805,4.764
2025-10-13_00-11-01,1920,1080,60,373247365.85,60.00,0.00,3.191,2.756,7.786
2025-10-13_00-11-02,1920,1080,60,373236164.31,60.00,0.00,3.071,2.769,3.651
2025-10-13_00-11-03,1920,1080,60,373216343.04,59.99,0.01,3.161,2.799,5.564
2025-10-13_00-11-04,1920,1080,60,373277171.61,60.00,-0.01,3.160,2.809,5.113
2025-10-13_00-11-05,1920,1080,60,367031866.81,59.00,1.67,3.330,2.791,5.928
2025-10-13_00-11-06,1920,1080,60,373253437.18,60.00,-0.00,3.453,2.839,6.200
