timestamp,width,height,fps,byte_rate,message_rate,frame_loss_pct,latency_avg_ms,latency_min_ms,latency_max_ms
2025-10-13_00-07-47,1920,1080,30,155493317.04,25.00,16.68,5.002,2.980,12.135
2025-10-13_00-07-48,1920,1080,30,186639880.81,30.00,-0.01,3.859,2.953,5.175
2025-10-13_00-07-49,1920,1080,30,186609831.46,30.00,0.01,3.548,2.892,6.014
2025-10-13_00-07-50,1920,1080,30,186619995.13,30.00,0.00,3.229,2.926,4.287
2025-10-13_00-07-51,1920,1080,30,186640139.89,30.00,-0.01,3.157,2.931,3.703
2025-10-13_00-07-52,1920,1080,30,186619772.50,30.00,0.00,3.298,2.974,6.186
2025-10-13_00-07-53,1920,1080,30,186631905.91,30.00,-0.00,3.370,2.962,4.770
2025-10-13_00-07-54,1920,1080,30,180385701.69,29.00,3.34,3.677,2.953,5.554
2025-10-13_00-07-55,1920,1080,30,186639159.21,30.00,-0.01,3.858,2.968,7.624
2025-10-13_00-07-56,1920,1080,30,186627893.99,30.00,-0.00,3.412,2.953,4.259
2025-10-13_00-07-57,1920,1080,30,186613989.65,30.00,0.01,3.415,2.963,4.467
2025-10-13_00-07-58,1920,1080,30,186620264.98,30.00,0.00,3.886,3.044,6.165
2025-10-13_00-07-59,1920,1080,30,174173346.64,28.00,6.67,3.320,2.941,4.737
2025-10-13_00-08-00,1920,1080,30,180422033.17,29.00,3.32,3.240,2.935,4.516
2025-10-13_00-08-01,1920,1080,30,186618459.48,30.00,0.00,3.453,2.928,5.495
2025-10-13_00-08-02,1920,1080,30,186621469.23,30.00,0.00,3.505,2.958,4.897
2025-10-13_00-08-03,1920,1080,30,186609122.96,30.00,0.01,3.558,3.030,4.988
2025-10-13_00-08-04,1920,1080,30,186640334.58,30.00,-0.01,3.222,2.894,4.003
2025-10-13_00-08-05,1920,1080,30,186623383.58,30.00,0.00,3.257,2.873,4.064
2025-10-13_00-08-06,1920,1080,30,186605736.52,30.00,0.01,3.299,2.881,5.407
2025-10-13_00-08-07,1920,1080,30,186645217.08,30.00,-0.01,3.221,2.908,4.258
2025-10-13_00-08-08,1920,1080,30,186615197.73,30.00,0.00,3.291,2.919,5.246
2025-10-13_00-08-09,1920,1080,30,186627360.04,30.00,-0.00,3.489,2.894,5.362
2025-10-13_00-08-10,1920,1080,30,186622451.97,30.00,0.00,3.391,2.937,4.521
2025-10-13_00-08-11,1920,1080,30,186622398.78,30.00,0.00,3.240,2.925,4.054
2025-10-13_00-08-12,1920,1080,30,186624198.38,30.00,-0.00,3.260,2.944,4.713
2025-10-13_00-08-13,1920,1080,30,186607656.34,30.00,0.01,3.499,2.930,6.257
2025-10-13_00-08-14,1920,1080,30,186645344.20,30.00,-0.01,3.903,2.941,7.074
2025-10-13_00-08-15,1920,1080,30,186598080.59,30.00,0.01,3.279,2.922,4.412
2025-10-13_00-08-16,1920,1080,30,186640831.83,30.00,-0.01,3.218,3.002,3.705
2025-10-13_00-08-17,1920,1080,30,186630612.51,30.00,-0.00,3.146,2.923,3.938
2025-10-13_00-08-18,1920,1080,30,186602188.44,30.00,0.01,3.460,2.985,5.448
2025-10-13_00-08-19,1920,1080,30,186644715.88,30.00,-0.01,3.450,2.973,5.531
2025-10-13_00-08-20,1920,1080,30,186617580.36,30.00,0.00,3.282,2.957,4.353
2025-10-13_00-08-21,1920,1080,30,186624284.98,30.00,-0.00,3.223,2.953,4.169
