timestamp,width,height,fps,byte_rate,message_rate,frame_loss_pct,latency_avg_ms,latency_min_ms,latency_max_ms
2025-10-13_00-04-20,1280,720,30,82937921.40,30.00,0.01,2.464,1.823,6.750
2025-10-13_00-04-21,1280,720,30,82944083.28,30.00,-0.00,1.636,1.363,2.147
2025-10-13_00-04-22,1280,720,30,82943797.45,30.00,0.00,1.521,1.298,2.680
2025-10-13_00-04-23,1280,720,30,82933324.66,30.00,0.01,1.533,1.310,1.850
2025-10-13_00-04-24,1280,720,30,80188931.33,29.00,3.32,1.749,1.363,2.668
2025-10-13_00-04-25,1280,720,30,82944008.63,30.00,-0.00,1.570,1.305,1.820
2025-10-13_00-04-26,1280,720,30,82942889.81,30.00,0.00,1.622,1.442,2.190
2025-10-13_00-04-27,1280,720,30,82944570.99,30.00,-0.00,1.523,1.327,2.219
2025-10-13_00-04-28,1280,720,30,82943005.51,30.00,0.00,1.458,1.284,1.694
2025-10-13_00-04-29,1280,720,30,74650174.21,27.00,10.00,1.682,1.341,3.809
2025-10-13_00-04-30,1280,720,30,82943796.21,30.00,0.00,1.475,1.272,1.800
2025-10-13_00-04-31,1280,720,30,82943504.41,30.00,0.00,1.558,1.307,2.536
2025-10-13_00-04-32,1280,720,30,80178651.66,29.00,3.33,1.693,1.344,2.969
2025-10-13_00-04-33,1280,720,30,82944265.75,30.00,-0.00,1.645,1.327,2.731
2025-10-13_00-04-34,1280,720,30,82943198.93,30.00,0.00,1.642,1.325,2.974
2025-10-13_00-04-35,1280,720,30,82943786.34,30.00,0.00,1.682,1.348,2.186
2025-10-13_00-04-36,1280,720,30,82943862.98,30.00,0.00,1.523,1.318,2.069
2025-10-13_00-04-37,1280,720,30,82942708.08,30.00,0.00,1.472,1.293,2.790
2025-10-13_00-04-38,1280,720,30,82945836.50,30.00,-0.00,1.530,1.296,1.944
2025-10-13_00-04-39,1280,720,30,82939841.48,30.00,0.01,1.493,1.351,1.871
2025-10-13_00-04-40,1280,720,30,82946402.96,30.00,-0.00,1.869,1.344,3.028
2025-10-13_00-04-41,1280,720,30,82944570.91,30.00,-0.00,1.585,1.306,2.010
2025-10-13_00-04-42,1280,720,30,82944047.36,30.00,-0.00,1.555,1.308,1.914
2025-10-13_00-04-43,1280,720,30,82943621.69,30.00,0.00,1.776,1.319,2.729
2025-10-13_00-04-44,1280,720,30,82943901.30,30.00,0.00,1.546,1.307,2.395
2025-10-13_00-04-45,1280,720,30,82943501.43,30.00,0.00,1.643,1.310,2.446
2025-10-13_00-04-46,1280,720,30,82943975.12,30.00,0.00,1.544,1.318,2.040
2025-10-13_00-04-47,1280,720,30,82942027.22,30.00,0.00,1.536,1.315,2.434
2025-10-13_00-04-48,1280,720,30,82945952.71,30.00,-0.00,1.494,1.279,2.124
2025-10-13_00-04-49,1280,720,30,82942909.63,30.00,0.00,1.507,1.329,1.866
2025-10-13_00-04-50,1280,720,30,82941506.94,30.00,0.00,1.633,1.345,2.504
2025-10-13_00-04-51,1280,720,30,82945965.24,30.00,-0.00,1.644,1.313,2.338
2025-10-13_00-04-52,1280,720,30,82944424.18,30.00,-0.00,1.562,1.340,2.036
2025-10-13_00-04-53,1280,720,30,82943674.53,30.00,0.00,1.518,1.282,2.387
2025-10-13_00-04-54,1280,720,30,82943661.26,30.00,0.00,1.476,1.294,2.038
