rmw_type,config,resolution,fps,data_rate_mbps,avg_frame_loss_pct,max_frame_loss_pct,avg_latency_ms,max_latency_ms,avg_message_rate,test_duration_sec,timestamp
cyclonedds,640x480_30fps,640x480,30,26.3,0.00,0.01,0.636,0.627,30.00,60,2025-10-13_00-01-59
cyclonedds,low,640x480,15,13.1,0.00,0.02,0.708,0.727,15.00,60,2025-10-13_00-03-08
cyclonedds,medium,1280x720,30,79.1,0.86,13.33,1.603,1.823,29.74,60,2025-10-13_00-04-17
cyclonedds,1280x720_45fps,1280x720,45,118.6,1.29,13.34,1.502,1.277,44.42,60,2025-10-13_00-05-27
cyclonedds,1280x720_60fps,1280x720,60,158.2,0.62,11.67,1.488,1.231,59.63,60,2025-10-13_00-06-36
cyclonedds,high,1920x1080,30,177.9,0.70,16.68,3.442,3.044,29.79,60,2025-10-13_00-07-45
cyclonedds,1920x1080_45fps,1920x1080,45,266.9,0.29,4.44,3.380,3.024,44.87,60,2025-10-13_00-08-54
cyclonedds,1080p60,1920x1080,60,355.9,0.38,3.34,3.282,2.889,59.77,60,2025-10-13_00-10-03
cyclonedds,2560x1440_30fps,2560x1440,30,316.4,0.38,10.01,6.059,7.374,29.89,60,2025-10-13_00-11-12
cyclonedds,2560x1440_45fps,2560x1440,45,474.6,0.57,13.34,5.936,5.279,44.74,60,2025-10-13_00-12-21
cyclonedds,2560x1440_60fps,2560x1440,60,632.8,0.19,1.67,5.923,5.208,59.89,60,2025-10-13_00-13-30
cyclonedds,extreme,3840x2160,30,711.9,0.27,10.01,16.886,17.636,29.92,60,2025-10-13_00-14-39
cyclonedds,3840x2160_45fps,3840x2160,45,1067.8,0.65,8.91,17.289,13.198,44.71,60,2025-10-13_00-15-49
cyclonedds,3840x2160_60fps,3840x2160,60,1423.8,0.83,18.91,18.435,14.023,59.50,60,2025-10-13_00-16-58
zenoh,640x480_30fps,640x480,30,26.3,0.00,0.01,0.913,0.894,30.00,60,2025-10-13_00-18-15
zenoh,low,640x480,15,13.1,0.00,0.03,1.013,1.048,15.00,60,2025-10-13_00-19-28
zenoh,medium,1280x720,30,79.1,0.00,0.01,2.014,2.016,30.00,60,2025-10-13_00-20-41
zenoh,1280x720_45fps,1280x720,45,118.6,0.00,0.01,1.920,1.947,45.00,60,2025-10-13_00-21-54
zenoh,1280x720_60fps,1280x720,60,158.2,0.00,1.65,1.848,1.412,60.00,60,2025-10-13_00-23-07
zenoh,high,1920x1080,30,177.9,0.00,0.23,4.225,4.399,30.00,60,2025-10-13_00-24-20
zenoh,1920x1080_45fps,1920x1080,45,266.9,0.00,0.01,4.040,3.351,45.00,60,2025-10-13_00-25-33
zenoh,1080p60,1920x1080,60,355.9,0.00,0.02,3.907,3.365,60.00,60,2025-10-13_00-26-46
zenoh,2560x1440_30fps,2560x1440,30,316.4,0.00,0.02,7.187,7.941,30.00,60,2025-10-13_00-27-59
zenoh,2560x1440_45fps,2560x1440,45,474.6,0.00,0.01,7.040,5.949,45.00,60,2025-10-13_00-29-12
zenoh,2560x1440_60fps,2560x1440,60,632.8,0.03,1.68,6.996,6.132,59.98,60,2025-10-13_00-30-25
zenoh,extreme,3840x2160,30,711.9,0.05,2.66,22.125,19.767,29.98,60,2025-10-13_00-31-38
zenoh,3840x2160_45fps,3840x2160,45,1067.8,0.04,9.02,22.331,20.154,44.98,60,2025-10-13_00-32-51
zenoh,3840x2160_60fps,3840x2160,60,1423.8,5.13,18.33,27.099,22.682,56.92,60,2025-10-13_00-34-04
