timestamp,width,height,fps,byte_rate,message_rate,frame_loss_pct,latency_avg_ms,latency_min_ms,latency_max_ms
2025-10-13_00-25-36,1920,1080,45,279907469.59,45.00,0.01,5.467,3.351,15.819
2025-10-13_00-25-37,1920,1080,45,279945926.04,45.00,-0.00,4.032,3.266,5.853
2025-10-13_00-25-38,1920,1080,45,279925924.07,45.00,0.00,4.089,3.087,6.040
2025-10-13_00-25-39,1920,1080,45,279941476.22,45.00,-0.00,3.955,3.141,6.519
2025-10-13_00-25-40,1920,1080,45,279929097.51,45.00,0.00,4.211,3.152,6.803
2025-10-13_00-25-41,1920,1080,45,279942828.93,45.00,-0.00,3.690,3.112,5.796
2025-10-13_00-25-42,1920,1080,45,279923014.65,45.00,0.00,4.024,3.121,5.937
2025-10-13_00-25-43,1920,1080,45,279942902.55,45.00,-0.00,3.983,3.052,5.870
2025-10-13_00-25-44,1920,1080,45,279935053.82,45.00,0.00,4.062,3.097,5.948
2025-10-13_00-25-45,1920,1080,45,279935438.17,45.00,0.00,4.955,3.270,7.331
2025-10-13_00-25-46,1920,1080,45,279932805.69,45.00,0.00,3.897,3.088,7.570
2025-10-13_00-25-47,1920,1080,45,279938430.43,45.00,-0.00,3.791,3.037,5.544
2025-10-13_00-25-48,1920,1080,45,279935748.62,45.00,0.00,3.981,3.068,6.519
2025-10-13_00-25-49,1920,1080,45,279904125.92,44.99,0.01,3.784,3.057,7.743
2025-10-13_00-25-50,1920,1080,45,279941045.94,45.00,-0.00,4.264,3.061,8.670
2025-10-13_00-25-51,1920,1080,45,279964918.70,45.00,-0.01,4.191,3.094,5.820
2025-10-13_00-25-52,1920,1080,45,279934052.50,45.00,0.00,3.783,3.105,4.935
2025-10-13_00-25-53,1920,1080,45,279928682.94,45.00,0.00,3.807,2.959,5.708
2025-10-13_00-25-54,1920,1080,45,279934944.93,45.00,0.00,3.715,3.030,5.593
2025-10-13_00-25-55,1920,1080,45,279935461.40,45.00,0.00,3.923,2.981,6.490
2025-10-13_00-25-56,1920,1080,45,279938372.48,45.00,-0.00,4.713,3.010,8.362
2025-10-13_00-25-57,1920,1080,45,279933687.47,45.00,0.00,3.850,3.025,6.245
2025-10-13_00-25-58,1920,1080,45,279939312.52,45.00,-0.00,3.764,3.041,5.012
2025-10-13_00-25-59,1920,1080,45,279926804.40,45.00,0.00,3.930,3.076,5.715
2025-10-13_00-26-00,1920,1080,45,279947933.62,45.00,-0.00,3.697,2.921,5.363
2025-10-13_00-26-01,1920,1080,45,279927876.21,45.00,0.00,4.386,3.054,8.631
2025-10-13_00-26-02,1920,1080,45,279939647.05,45.00,-0.00,3.801,3.073,5.907
2025-10-13_00-26-03,1920,1080,45,279930153.10,45.00,0.00,3.887,2.966,5.832
2025-10-13_00-26-04,1920,1080,45,279940396.74,45.00,-0.00,4.159,3.143,6.876
2025-10-13_00-26-05,1920,1080,45,279937572.69,45.00,-0.00,3.955,3.116,6.166
2025-10-13_00-26-06,1920,1080,45,279908781.11,45.00,0.01,4.410,3.177,8.999
2025-10-13_00-26-07,1920,1080,45,279952293.50,45.00,-0.01,3.735,3.107,5.349
2025-10-13_00-26-08,1920,1080,45,279941554.88,45.00,-0.00,3.795,3.045,6.569
2025-10-13_00-26-09,1920,1080,45,279933454.01,45.00,0.00,3.673,3.117,5.004
2025-10-13_00-26-10,1920,1080,45,279929688.99,45.00,0.00,4.123,3.177,6.024
2025-10-13_00-26-11,1920,1080,45,279943029.93,45.00,-0.00,4.001,3.134,7.618
2025-10-13_00-26-12,1920,1080,45,279937236.48,45.00,-0.00,5.044,3.159,9.799
2025-10-13_00-26-13,1920,1080,45,279922823.47,45.00,0.00,3.981,3.187,6.530
2025-10-13_00-26-14,1920,1080,45,279911126.54,45.00,0.01,4.216,3.140,6.506
2025-10-13_00-26-15,1920,1080,45,279942884.64,45.00,-0.00,4.022,3.030,5.752
2025-10-13_00-26-16,1920,1080,45,279955888.63,45.00,-0.01,3.690,3.014,5.576
2025-10-13_00-26-17,1920,1080,45,279944987.63,45.00,-0.00,4.512,3.069,10.067
2025-10-13_00-26-18,1920,1080,45,279930524.84,45.00,0.00,3.996,3.065,5.889
2025-10-13_00-26-19,1920,1080,45,279930203.21,45.00,0.00,3.614,3.163,5.198
2025-10-13_00-26-20,1920,1080,45,279937141.02,45.00,-0.00,3.511,3.053,4.707
2025-10-13_00-26-21,1920,1080,45,279935830.92,45.00,0.00,3.581,3.119,4.777
2025-10-13_00-26-22,1920,1080,45,279939865.41,45.00,-0.00,4.093,3.126,7.943
2025-10-13_00-26-23,1920,1080,45,279929713.34,45.00,0.00,4.651,3.196,7.779
2025-10-13_00-26-24,1920,1080,45,279939103.12,45.00,-0.00,4.045,3.032,6.225
2025-10-13_00-26-25,1920,1080,45,279907891.09,45.00,0.01,4.135,3.146,5.713
2025-10-13_00-26-26,1920,1080,45,279963281.86,45.00,-0.01,3.727,3.063,5.181
2025-10-13_00-26-27,1920,1080,45,279910550.25,45.00,0.01,3.736,3.214,5.057
2025-10-13_00-26-28,1920,1080,45,279955595.49,45.00,-0.01,4.309,3.067,7.909
2025-10-13_00-26-29,1920,1080,45,279938774.47,45.00,-0.00,3.646,3.147,5.636
2025-10-13_00-26-30,1920,1080,45,279905078.89,45.00,0.01,3.901,3.127,6.077
2025-10-13_00-26-31,1920,1080,45,279961486.01,45.00,-0.01,4.101,2.923,6.375
2025-10-13_00-26-32,1920,1080,45,279942623.44,45.00,-0.00,3.722,3.119,5.307
2025-10-13_00-26-33,1920,1080,45,279906557.19,45.00,0.01,4.342,3.166,8.497
2025-10-13_00-26-34,1920,1080,45,279954116.11,45.00,-0.01,3.883,3.088,6.816
2025-10-13_00-26-35,1920,1080,45,279914058.38,45.00,0.01,3.956,3.125,5.672
2025-10-13_00-26-36,1920,1080,45,279959444.36,45.00,-0.01,4.448,3.066,7.487
2025-10-13_00-26-37,1920,1080,45,279913234.94,45.00,0.01,4.108,3.081,5.963
