timestamp,width,height,fps,byte_rate,message_rate,frame_loss_pct,latency_avg_ms,latency_min_ms,latency_max_ms
2025-10-13_00-24-23,1920,1080,30,186607839.57,30.00,0.01,5.806,4.399,15.275
2025-10-13_00-24-24,1920,1080,30,186624267.81,30.00,-0.00,4.657,3.216,6.810
2025-10-13_00-24-25,1920,1080,30,186617006.34,30.00,0.00,4.471,3.132,7.090
2025-10-13_00-24-26,1920,1080,30,186625423.95,30.00,-0.00,4.152,3.308,5.698
2025-10-13_00-24-27,1920,1080,30,186630540.84,30.00,-0.00,4.101,3.194,5.484
2025-10-13_00-24-28,1920,1080,30,186624280.50,30.00,-0.00,4.185,3.228,5.196
2025-10-13_00-24-29,1920,1080,30,186623253.13,30.00,0.00,4.012,3.197,6.709
2025-10-13_00-24-30,1920,1080,30,186620896.12,30.00,0.00,4.672,3.286,7.211
2025-10-13_00-24-31,1920,1080,30,186623771.76,30.00,0.00,3.967,3.279,5.816
2025-10-13_00-24-32,1920,1080,30,186625844.24,30.00,-0.00,3.828,3.194,6.687
2025-10-13_00-24-33,1920,1080,30,186623620.22,30.00,0.00,4.074,3.239,5.323
2025-10-13_00-24-34,1920,1080,30,186614412.50,30.00,0.01,4.832,3.344,8.844
2025-10-13_00-24-35,1920,1080,30,186631834.24,30.00,-0.00,4.498,3.268,7.197
2025-10-13_00-24-36,1920,1080,30,186623468.68,30.00,0.00,3.975,3.205,5.458
2025-10-13_00-24-37,1920,1080,30,186622015.83,30.00,0.00,4.104,3.340,6.626
2025-10-13_00-24-38,1920,1080,30,186625509.80,30.00,-0.00,4.576,3.429,5.936
2025-10-13_00-24-39,1920,1080,30,186622455.51,30.00,0.00,4.066,3.349,5.828
2025-10-13_00-24-40,1920,1080,30,186623126.04,30.00,0.00,4.653,3.176,6.759
2025-10-13_00-24-41,1920,1080,30,186611973.04,30.00,0.01,4.438,3.153,8.057
2025-10-13_00-24-42,1920,1080,30,186633061.97,30.00,-0.00,4.178,3.301,8.155
2025-10-13_00-24-43,1920,1080,30,186625244.23,30.00,-0.00,4.244,3.208,6.259
2025-10-13_00-24-44,1920,1080,30,186624627.25,30.00,-0.00,3.935,3.269,5.421
2025-10-13_00-24-45,1920,1080,30,186622583.16,30.00,0.00,4.283,3.326,5.477
2025-10-13_00-24-46,1920,1080,30,186623793.59,30.00,0.00,4.462,3.313,7.040
2025-10-13_00-24-47,1920,1080,30,186624252.69,30.00,-0.00,4.081,3.266,5.818
2025-10-13_00-24-48,1920,1080,30,186623843.98,30.00,0.00,3.979,3.197,5.900
2025-10-13_00-24-49,1920,1080,30,186621891.17,30.00,0.00,3.937,3.185,5.729
2025-10-13_00-24-50,1920,1080,30,186590896.91,29.99,0.02,4.216,3.391,5.805
2025-10-13_00-24-51,1920,1080,30,186654372.59,30.00,-0.02,4.243,3.321,7.843
2025-10-13_00-24-52,1920,1080,30,186610253.36,30.00,0.01,3.756,3.200,5.594
2025-10-13_00-24-53,1920,1080,30,186616042.51,30.00,0.00,3.995,3.213,5.617
2025-10-13_00-24-54,1920,1080,30,186645999.96,30.00,-0.01,3.925,3.309,5.855
2025-10-13_00-24-55,1920,1080,30,186622206.00,30.00,0.00,4.039,3.200,5.902
2025-10-13_00-24-56,1920,1080,30,186625552.35,30.00,-0.00,4.193,3.173,5.402
2025-10-13_00-24-57,1920,1080,30,186605709.47,30.00,0.01,4.220,3.198,6.961
2025-10-13_00-24-58,1920,1080,30,186643217.53,30.00,-0.01,4.388,3.186,6.686
2025-10-13_00-24-59,1920,1080,30,186620488.92,30.00,0.00,4.674,3.193,6.230
2025-10-13_00-25-00,1920,1080,30,186625322.43,30.00,-0.00,4.163,3.281,5.328
2025-10-13_00-25-01,1920,1080,30,186622757.28,30.00,0.00,4.088,3.244,6.466
2025-10-13_00-25-02,1920,1080,30,186622700.36,30.00,0.00,4.519,3.466,7.398
2025-10-13_00-25-03,1920,1080,30,186622363.14,30.00,0.00,3.831,3.256,5.102
2025-10-13_00-25-04,1920,1080,30,186610829.57,30.00,0.01,3.923,3.279,5.820
2025-10-13_00-25-05,1920,1080,30,186638229.49,30.00,-0.01,4.227,3.293,6.122
2025-10-13_00-25-06,1920,1080,30,186622734.51,30.00,0.00,3.777,3.269,5.417
2025-10-13_00-25-07,1920,1080,30,186623958.76,30.00,0.00,4.296,3.327,7.389
2025-10-13_00-25-08,1920,1080,30,186623608.65,30.00,0.00,4.204,3.328,8.393
2025-10-13_00-25-09,1920,1080,30,186609740.03,30.00,0.01,4.069,3.252,5.775
2025-10-13_00-25-10,1920,1080,30,186637302.20,30.00,-0.01,4.140,3.326,5.509
2025-10-13_00-25-11,1920,1080,30,186615073.64,30.00,0.00,4.198,3.307,6.396
2025-10-13_00-25-12,1920,1080,30,186610488.09,30.00,0.01,4.022,3.169,6.088
2025-10-13_00-25-13,1920,1080,30,186644415.73,30.00,-0.01,5.209,3.253,11.105
2025-10-13_00-25-14,1920,1080,30,186624481.30,30.00,-0.00,4.094,3.288,7.853
2025-10-13_00-25-15,1920,1080,30,186609578.25,30.00,0.01,3.753,3.227,5.056
2025-10-13_00-25-16,1920,1080,30,186636380.15,30.00,-0.01,3.624,3.218,5.142
2025-10-13_00-25-17,1920,1080,30,186624595.71,30.00,-0.00,3.816,3.315,4.992
2025-10-13_00-25-18,1920,1080,30,186622762.13,30.00,0.00,5.290,3.315,11.645
2025-10-13_00-25-19,1920,1080,30,186622512.25,30.00,0.00,3.887,3.254,6.602
