timestamp,width,height,fps,byte_rate,message_rate,frame_loss_pct,latency_avg_ms,latency_min_ms,latency_max_ms
2025-10-22_14-00-08,640,480,30,27644074.18,30.00,0.01,1.217,0.999,1.493
2025-10-22_14-00-09,640,480,30,27648918.99,30.00,-0.00,0.615,0.454,1.226
2025-10-22_14-00-10,640,480,30,27648061.66,30.00,-0.00,0.619,0.438,1.182
2025-10-22_14-00-11,640,480,30,27647946.69,30.00,0.00,0.600,0.462,1.109
2025-10-22_14-00-12,640,480,30,27647114.32,30.00,0.00,0.580,0.464,1.039
2025-10-22_14-00-13,640,480,30,27648117.89,30.00,-0.00,0.582,0.462,1.152
2025-10-22_14-00-14,640,480,30,27647818.99,30.00,0.00,0.557,0.447,1.038
2025-10-22_14-00-15,640,480,30,27601431.58,29.95,0.17,0.592,0.469,0.857
2025-10-22_14-00-16,640,480,30,27693972.10,30.05,-0.17,0.605,0.487,1.029
2025-10-22_14-00-17,640,480,30,27646730.43,30.00,0.00,0.609,0.480,1.323
2025-10-22_14-00-18,640,480,30,27648115.10,30.00,-0.00,0.597,0.468,1.120
2025-10-22_14-00-19,640,480,30,27648268.02,30.00,-0.00,0.638,0.448,1.748
2025-10-22_14-00-20,640,480,30,27647084.14,30.00,0.00,0.614,0.469,1.069
2025-10-22_14-00-21,640,480,30,27647830.91,30.00,0.00,0.602,0.478,1.250
2025-10-22_14-00-22,640,480,30,27648093.23,30.00,-0.00,0.642,0.463,1.158
2025-10-22_14-00-23,640,480,30,27647569.97,30.00,0.00,0.613,0.455,1.433
2025-10-22_14-00-24,640,480,30,27647887.42,30.00,0.00,0.591,0.469,0.906
2025-10-22_14-00-25,640,480,30,27613541.53,29.96,0.12,0.618,0.477,1.085
2025-10-22_14-00-26,640,480,30,27680400.96,30.04,-0.12,0.585,0.475,1.065
2025-10-22_14-00-27,640,480,30,27648807.37,30.00,-0.00,0.589,0.461,1.092
2025-10-22_14-00-28,640,480,30,27648081.87,30.00,-0.00,0.591,0.473,1.184
2025-10-22_14-00-29,640,480,30,27647622.89,30.00,0.00,0.591,0.472,1.175
2025-10-22_14-00-30,640,480,30,27647295.49,30.00,0.00,0.585,0.461,0.997
2025-10-22_14-00-31,640,480,30,27648079.10,30.00,-0.00,0.585,0.469,1.152
2025-10-22_14-00-32,640,480,30,27647734.50,30.00,0.00,0.638,0.464,1.679
2025-10-22_14-00-33,640,480,30,27647507.38,30.00,0.00,0.571,0.476,1.039
2025-10-22_14-00-34,640,480,30,27647814.01,30.00,0.00,0.601,0.451,1.287
2025-10-22_14-00-35,640,480,30,27647142.30,30.00,0.00,0.599,0.482,1.033
2025-10-22_14-00-36,640,480,30,27648307.89,30.00,-0.00,0.603,0.463,1.125
2025-10-22_14-00-37,640,480,30,27647447.83,30.00,0.00,0.593,0.474,1.141
2025-10-22_14-00-38,640,480,30,27647422.89,30.00,0.00,0.587,0.472,1.099
2025-10-22_14-00-39,640,480,30,27648059.17,30.00,-0.00,0.598,0.454,1.072
2025-10-22_14-00-40,640,480,30,27646606.89,30.00,0.01,0.601,0.460,0.956
2025-10-22_14-00-41,640,480,30,27648759.51,30.00,-0.00,0.592,0.465,0.796
2025-10-22_14-00-42,640,480,30,27647759.44,30.00,0.00,0.612,0.473,1.261
2025-10-22_14-00-43,640,480,30,27647682.16,30.00,0.00,0.578,0.461,1.083
2025-10-22_14-00-44,640,480,30,27647403.78,30.00,0.00,0.603,0.469,1.104
2025-10-22_14-00-45,640,480,30,27648059.44,30.00,-0.00,0.593,0.475,0.912
2025-10-22_14-00-46,640,480,30,27631129.29,29.98,0.06,0.595,0.476,1.326
2025-10-22_14-00-47,640,480,30,27654139.08,30.01,-0.02,0.653,0.455,1.300
2025-10-22_14-00-48,640,480,30,27657704.78,30.01,-0.04,0.573,0.452,1.155
2025-10-22_14-00-49,640,480,30,27647615.12,30.00,0.00,0.594,0.457,1.196
2025-10-22_14-00-50,640,480,30,27647744.51,30.00,0.00,0.625,0.454,1.321
2025-10-22_14-00-51,640,480,30,27647961.07,30.00,0.00,0.582,0.462,1.005
2025-10-22_14-00-52,640,480,30,27648043.66,30.00,-0.00,0.624,0.475,1.112
2025-10-22_14-00-53,640,480,30,27646678.90,30.00,0.00,0.608,0.461,1.267
2025-10-22_14-00-54,640,480,30,27648139.48,30.00,-0.00,0.582,0.476,1.393
2025-10-22_14-00-55,640,480,30,27647570.83,30.00,0.00,0.656,0.479,1.769
2025-10-22_14-00-56,640,480,30,27645287.17,30.00,0.01,0.584,0.473,1.370
2025-10-22_14-00-57,640,480,30,27649961.76,30.00,-0.01,0.577,0.430,1.038
2025-10-22_14-00-58,640,480,30,27646859.48,30.00,0.00,0.633,0.461,1.649
2025-10-22_14-00-59,640,480,30,27648682.15,30.00,-0.00,0.641,0.461,1.382
2025-10-22_14-01-00,640,480,30,27647700.71,30.00,0.00,0.608,0.471,1.056
2025-10-22_14-01-01,640,480,30,27647539.25,30.00,0.00,0.574,0.459,1.119
2025-10-22_14-01-02,640,480,30,27647633.67,30.00,0.00,0.600,0.466,1.081
2025-10-22_14-01-03,640,480,30,27647514.87,30.00,0.00,0.603,0.467,1.299
2025-10-22_14-01-04,640,480,30,27647994.61,30.00,0.00,0.548,0.454,0.724
2025-10-22_14-01-05,640,480,30,27647285.79,30.00,0.00,0.581,0.456,0.752
2025-10-22_14-01-06,640,480,30,27647985.73,30.00,0.00,0.587,0.463,1.247
2025-10-22_14-01-07,640,480,30,27647748.65,30.00,0.00,0.589,0.466,0.974
2025-10-22_14-01-08,640,480,30,27647769.69,30.00,0.00,0.581,0.462,1.120
