timestamp,width,height,fps,byte_rate,message_rate,frame_loss_pct,latency_avg_ms,latency_min_ms,latency_max_ms
2025-10-22_14-13-14,3840,2160,30,734832909.16,29.53,1.56,30.840,26.133,42.347
2025-10-22_14-13-15,3840,2160,30,758357016.18,30.48,-1.59,14.028,10.252,33.040
2025-10-22_14-13-16,3840,2160,30,746540440.81,30.00,-0.01,13.551,10.263,28.880
2025-10-22_14-13-17,3840,2160,30,746514911.46,30.00,-0.00,13.091,9.993,29.855
2025-10-22_14-13-18,3840,2160,30,746505622.46,30.00,-0.00,12.800,10.090,30.009
2025-10-22_14-13-19,3840,2160,30,746491419.53,30.00,0.00,13.196,10.564,29.289
2025-10-22_14-13-20,3840,2160,30,746487545.28,30.00,0.00,12.910,10.622,25.603
2025-10-22_14-13-21,3840,2160,30,735974196.42,29.58,1.41,13.169,10.245,30.905
2025-10-22_14-13-22,3840,2160,30,757280319.99,30.43,-1.44,12.142,10.144,17.326
2025-10-22_14-13-23,3840,2160,30,746510574.13,30.00,-0.00,12.624,9.960,16.668
2025-10-22_14-13-24,3840,2160,30,746487381.06,30.00,0.00,13.132,10.383,26.878
2025-10-22_14-13-25,3840,2160,30,746482773.82,30.00,0.00,13.164,10.510,30.184
2025-10-22_14-13-26,3840,2160,30,746473328.11,30.00,0.00,13.215,10.063,27.625
2025-10-22_14-13-27,3840,2160,30,746490567.04,30.00,0.00,12.747,10.453,27.858
2025-10-22_14-13-28,3840,2160,30,746497043.60,30.00,-0.00,12.414,9.933,29.797
2025-10-22_14-13-29,3840,2160,30,746472924.28,30.00,0.00,12.741,10.043,29.385
2025-10-22_14-13-30,3840,2160,30,746508442.06,30.00,-0.00,13.025,10.322,27.882
2025-10-22_14-13-31,3840,2160,30,746485698.50,30.00,0.00,12.970,10.038,29.938
2025-10-22_14-13-32,3840,2160,30,746460831.24,30.00,0.00,12.739,10.127,27.016
2025-10-22_14-13-33,3840,2160,30,746505959.14,30.00,-0.00,12.978,10.328,26.043
2025-10-22_14-13-34,3840,2160,30,746490013.90,30.00,0.00,12.336,10.202,16.213
2025-10-22_14-13-35,3840,2160,30,746489257.71,30.00,0.00,13.040,10.406,26.695
2025-10-22_14-13-36,3840,2160,30,746497006.28,30.00,-0.00,13.055,10.315,27.586
2025-10-22_14-13-37,3840,2160,30,746478189.78,30.00,0.00,12.616,9.862,28.070
2025-10-22_14-13-38,3840,2160,30,746463201.90,30.00,0.00,12.914,10.258,25.808
2025-10-22_14-13-39,3840,2160,30,746203551.64,29.99,0.04,13.002,10.035,30.534
2025-10-22_14-13-40,3840,2160,30,746782967.78,30.01,-0.04,13.076,10.410,28.086
2025-10-22_14-13-41,3840,2160,30,746502638.65,30.00,-0.00,13.114,10.484,28.414
2025-10-22_14-13-42,3840,2160,30,746482324.44,30.00,0.00,12.950,10.531,27.030
2025-10-22_14-13-43,3840,2160,30,746494395.78,30.00,0.00,13.065,10.428,28.985
2025-10-22_14-13-44,3840,2160,30,746482410.29,30.00,0.00,12.984,10.129,29.439
2025-10-22_14-13-45,3840,2160,30,746480420.95,30.00,0.00,12.061,9.916,16.219
2025-10-22_14-13-46,3840,2160,30,746490353.55,30.00,0.00,12.469,10.050,27.858
