timestamp,width,height,fps,byte_rate,message_rate,frame_loss_pct,latency_avg_ms,latency_min_ms,latency_max_ms
2025-10-22_14-01-19,640,480,15,13806669.08,14.98,0.13,1.217,0.921,1.463
2025-10-22_14-01-20,640,480,15,13839849.13,15.02,-0.11,1.203,1.011,1.452
2025-10-22_14-01-21,640,480,15,13823967.39,15.00,0.00,0.652,0.463,1.138
2025-10-22_14-01-22,640,480,15,13823822.93,15.00,0.00,0.638,0.521,1.037
2025-10-22_14-01-23,640,480,15,13811079.83,14.99,0.09,0.613,0.484,1.169
2025-10-22_14-01-24,640,480,15,13836670.47,15.01,-0.09,0.633,0.479,1.199
2025-10-22_14-01-25,640,480,15,13823869.48,15.00,0.00,0.670,0.497,1.160
2025-10-22_14-01-26,640,480,15,13824001.45,15.00,-0.00,0.680,0.484,1.910
2025-10-22_14-01-27,640,480,15,13823694.41,15.00,0.00,0.615,0.479,0.978
2025-10-22_14-01-28,640,480,15,13823834.98,15.00,0.00,0.608,0.493,0.897
2025-10-22_14-01-29,640,480,15,13823796.62,15.00,0.00,0.602,0.475,1.225
2025-10-22_14-01-30,640,480,15,13823893.43,15.00,0.00,0.669,0.483,1.192
2025-10-22_14-01-31,640,480,15,13823924.87,15.00,0.00,0.613,0.498,0.822
2025-10-22_14-01-32,640,480,15,13823779.32,15.00,0.00,0.631,0.486,1.093
2025-10-22_14-01-33,640,480,15,13823866.28,15.00,0.00,0.569,0.464,0.639
2025-10-22_14-01-34,640,480,15,13823803.69,15.00,0.00,0.646,0.492,1.298
2025-10-22_14-01-35,640,480,15,13823961.43,15.00,0.00,0.598,0.475,0.927
2025-10-22_14-01-36,640,480,15,13823760.75,15.00,0.00,0.600,0.477,0.961
2025-10-22_14-01-37,640,480,15,13823793.58,15.00,0.00,0.595,0.476,0.743
2025-10-22_14-01-38,640,480,15,13823929.86,15.00,0.00,0.613,0.459,0.991
2025-10-22_14-01-39,640,480,15,13823769.75,15.00,0.00,0.563,0.476,0.675
2025-10-22_14-01-40,640,480,15,13823777.09,15.00,0.00,0.632,0.490,0.956
2025-10-22_14-01-41,640,480,15,13824007.69,15.00,-0.00,0.636,0.472,0.966
2025-10-22_14-01-42,640,480,15,13823325.20,15.00,0.00,0.638,0.474,1.314
2025-10-22_14-01-43,640,480,15,13824182.06,15.00,-0.00,0.578,0.458,0.777
2025-10-22_14-01-44,640,480,15,13823968.08,15.00,0.00,0.615,0.494,1.046
2025-10-22_14-01-45,640,480,15,13823676.83,15.00,0.00,0.552,0.465,0.719
2025-10-22_14-01-46,640,480,15,13824048.96,15.00,-0.00,0.663,0.485,1.111
2025-10-22_14-01-47,640,480,15,13823592.62,15.00,0.00,0.579,0.480,0.808
2025-10-22_14-01-48,640,480,15,13824026.11,15.00,-0.00,0.605,0.473,1.039
