timestamp,width,height,fps,byte_rate,message_rate,frame_loss_pct,latency_avg_ms,latency_min_ms,latency_max_ms
2025-10-22_14-25-05,1920,1080,60,373215464.94,59.99,0.01,5.925,3.295,12.632
2025-10-22_14-25-06,1920,1080,60,373248126.90,60.00,-0.00,4.153,3.104,6.476
2025-10-22_14-25-07,1920,1080,60,373243859.98,60.00,0.00,4.528,3.108,7.829
2025-10-22_14-25-08,1920,1080,60,373238457.04,60.00,0.00,4.490,3.055,7.138
2025-10-22_14-25-09,1920,1080,60,373247259.48,60.00,0.00,4.244,2.967,6.389
2025-10-22_14-25-10,1920,1080,60,373236616.66,60.00,0.00,4.484,3.048,6.865
2025-10-22_14-25-11,1920,1080,60,373246440.58,60.00,0.00,4.402,3.013,7.437
2025-10-22_14-25-12,1920,1080,60,373245486.94,60.00,0.00,4.428,3.199,7.401
2025-10-22_14-25-13,1920,1080,60,373245928.11,60.00,0.00,4.353,3.164,7.560
2025-10-22_14-25-14,1920,1080,60,373246257.31,60.00,0.00,4.434,3.203,7.945
2025-10-22_14-25-15,1920,1080,60,373241485.44,60.00,0.00,4.397,3.004,6.687
2025-10-22_14-25-16,1920,1080,60,373233479.72,60.00,0.00,4.460,3.114,6.495
2025-10-22_14-25-17,1920,1080,60,373251328.28,60.00,-0.00,4.272,2.815,7.872
2025-10-22_14-25-18,1920,1080,60,373248291.51,60.00,-0.00,4.493,3.280,6.875
2025-10-22_14-25-19,1920,1080,60,373240932.31,60.00,0.00,4.366,3.336,6.632
2025-10-22_14-25-20,1920,1080,60,373214933.16,59.99,0.01,4.471,3.213,7.173
2025-10-22_14-25-21,1920,1080,60,373270544.05,60.00,-0.01,4.563,2.978,6.556
2025-10-22_14-25-22,1920,1080,60,373248527.03,60.00,-0.00,4.443,2.990,8.032
2025-10-22_14-25-23,1920,1080,60,373240296.69,60.00,0.00,4.504,2.915,6.496
2025-10-22_14-25-24,1920,1080,60,373242827.97,60.00,0.00,4.459,3.151,6.654
2025-10-22_14-25-25,1920,1080,60,373239885.39,60.00,0.00,4.365,3.284,6.934
2025-10-22_14-25-26,1920,1080,60,373248070.92,60.00,-0.00,4.181,3.058,5.685
2025-10-22_14-25-27,1920,1080,60,373245075.62,60.00,0.00,4.360,3.127,6.477
2025-10-22_14-25-28,1920,1080,60,373238901.56,60.00,0.00,4.302,3.151,7.763
2025-10-22_14-25-29,1920,1080,60,373241851.96,60.00,0.00,4.379,3.062,6.179
