timestamp,width,height,fps,byte_rate,message_rate,frame_loss_pct,latency_avg_ms,latency_min_ms,latency_max_ms
2025-10-22_14-29-46,3840,2160,30,721545857.86,29.00,3.34,39.614,30.759,65.181
2025-10-22_14-29-47,3840,2160,30,746495154.97,30.00,0.00,27.913,22.475,38.872
2025-10-22_14-29-48,3840,2160,30,746481766.83,30.00,0.00,27.194,23.375,36.590
2025-10-22_14-29-49,3840,2160,30,746484848.26,30.00,0.00,26.907,23.772,31.070
2025-10-22_14-29-50,3840,2160,30,746483644.95,30.00,0.00,26.783,23.347,29.982
2025-10-22_14-29-51,3840,2160,30,746497861.77,30.00,-0.00,28.016,24.689,32.074
2025-10-22_14-29-52,3840,2160,30,746474123.83,30.00,0.00,28.627,23.706,42.122
2025-10-22_14-29-53,3840,2160,30,746499253.24,30.00,-0.00,26.756,23.864,31.519
2025-10-22_14-29-54,3840,2160,30,746468634.46,30.00,0.00,26.825,23.150,31.564
2025-10-22_14-29-55,3840,2160,30,746508632.42,30.00,-0.00,27.027,23.316,30.486
2025-10-22_14-29-56,3840,2160,30,746482283.39,30.00,0.00,27.049,22.722,32.797
2025-10-22_14-29-57,3840,2160,30,746490935.81,30.00,0.00,26.877,22.788,32.447
2025-10-22_14-29-58,3840,2160,30,746491273.22,30.00,0.00,27.302,23.980,32.400
2025-10-22_14-29-59,3840,2160,30,746299426.22,29.99,0.03,27.615,23.430,32.869
2025-10-22_14-30-00,3840,2160,30,746669734.37,30.01,-0.02,27.469,23.312,32.100
2025-10-22_14-30-01,3840,2160,30,746483240.36,30.00,0.00,27.404,22.666,31.131
2025-10-22_14-30-02,3840,2160,30,746479538.63,30.00,0.00,27.644,22.977,33.583
2025-10-22_14-30-03,3840,2160,30,746496359.06,30.00,-0.00,27.195,22.338,35.309
2025-10-22_14-30-04,3840,2160,30,746481684.72,30.00,0.00,27.253,23.859,30.944
2025-10-22_14-30-05,3840,2160,30,746496216.48,30.00,-0.00,26.940,23.467,30.704
2025-10-22_14-30-06,3840,2160,30,746459316.75,30.00,0.00,27.157,23.793,31.639
2025-10-22_14-30-07,3840,2160,30,746515438.52,30.00,-0.00,27.444,23.400,32.665
