timestamp,width,height,fps,byte_rate,message_rate,frame_loss_pct,latency_avg_ms,latency_min_ms,latency_max_ms
2025-10-22_14-18-03,640,480,15,13822952.44,15.00,0.01,1.234,0.915,2.148
2025-10-22_14-18-04,640,480,15,13823789.34,15.00,0.00,1.119,0.875,1.580
2025-10-22_14-18-05,640,480,15,13823927.56,15.00,0.00,0.755,0.563,1.282
2025-10-22_14-18-06,640,480,15,13823754.43,15.00,0.00,0.865,0.600,1.333
2025-10-22_14-18-07,640,480,15,13823879.50,15.00,0.00,0.732,0.552,1.927
2025-10-22_14-18-08,640,480,15,13823934.20,15.00,0.00,0.657,0.524,0.789
2025-10-22_14-18-09,640,480,15,13823779.51,15.00,0.00,0.792,0.541,2.120
2025-10-22_14-18-10,640,480,15,13823794.04,15.00,0.00,0.853,0.537,2.933
2025-10-22_14-18-11,640,480,15,13823910.66,15.00,0.00,0.786,0.519,1.246
2025-10-22_14-18-12,640,480,15,13823825.78,15.00,0.00,0.777,0.527,1.085
2025-10-22_14-18-13,640,480,15,13823861.22,15.00,0.00,0.779,0.514,1.668
2025-10-22_14-18-14,640,480,15,13823750.14,15.00,0.00,0.844,0.543,1.832
2025-10-22_14-18-15,640,480,15,13823842.24,15.00,0.00,0.742,0.569,1.203
2025-10-22_14-18-16,640,480,15,13823682.14,15.00,0.00,0.703,0.556,1.055
2025-10-22_14-18-17,640,480,15,13823972.71,15.00,0.00,0.743,0.531,1.223
2025-10-22_14-18-18,640,480,15,13823881.16,15.00,0.00,0.708,0.498,1.123
2025-10-22_14-18-19,640,480,15,13809505.35,14.98,0.10,0.886,0.555,2.642
2025-10-22_14-18-20,640,480,15,13838157.87,15.02,-0.10,0.802,0.594,2.342
2025-10-22_14-18-21,640,480,15,13823949.57,15.00,0.00,0.820,0.639,1.235
2025-10-22_14-18-22,640,480,15,13823586.72,15.00,0.00,0.760,0.574,1.207
2025-10-22_14-18-23,640,480,15,13823962.88,15.00,0.00,0.867,0.571,2.120
2025-10-22_14-18-24,640,480,15,13819196.89,14.99,0.03,0.700,0.512,0.838
2025-10-22_14-18-25,640,480,15,13828480.73,15.00,-0.03,0.782,0.597,1.150
2025-10-22_14-18-26,640,480,15,13823833.66,15.00,0.00,0.699,0.512,1.055
2025-10-22_14-18-27,640,480,15,13823698.08,15.00,0.00,0.767,0.529,1.182
2025-10-22_14-18-28,640,480,15,13823945.15,15.00,0.00,0.730,0.544,1.008
2025-10-22_14-18-29,640,480,15,13823820.64,15.00,0.00,0.691,0.572,0.977
2025-10-22_14-18-30,640,480,15,13823765.78,15.00,0.00,0.712,0.556,0.956
2025-10-22_14-18-31,640,480,15,13823929.77,15.00,0.00,0.766,0.551,1.821
2025-10-22_14-18-32,640,480,15,13823818.56,15.00,0.00,0.781,0.574,1.282
2025-10-22_14-18-33,640,480,15,13823833.80,15.00,0.00,0.770,0.599,1.040
2025-10-22_14-18-34,640,480,15,13823766.20,15.00,0.00,0.802,0.593,1.055
2025-10-22_14-18-35,640,480,15,13823900.56,15.00,0.00,0.776,0.582,1.679
2025-10-22_14-18-36,640,480,15,13823504.44,15.00,0.00,0.711,0.543,0.985
2025-10-22_14-18-37,640,480,15,13824180.61,15.00,-0.00,0.914,0.546,2.474
2025-10-22_14-18-38,640,480,15,13823863.85,15.00,0.00,0.711,0.588,1.180
2025-10-22_14-18-39,640,480,15,13823864.40,15.00,0.00,0.783,0.605,1.739
2025-10-22_14-18-40,640,480,15,13823847.08,15.00,0.00,0.836,0.529,1.857
2025-10-22_14-18-41,640,480,15,13823949.03,15.00,0.00,0.693,0.509,0.835
2025-10-22_14-18-42,640,480,15,13823763.57,15.00,0.00,0.769,0.637,1.006
2025-10-22_14-18-43,640,480,15,13823681.86,15.00,0.00,0.823,0.587,1.711
2025-10-22_14-18-44,640,480,15,13823893.07,15.00,0.00,0.817,0.564,2.410
2025-10-22_14-18-45,640,480,15,13823933.94,15.00,0.00,0.914,0.576,2.742
2025-10-22_14-18-46,640,480,15,13823877.29,15.00,0.00,0.713,0.610,1.045
2025-10-22_14-18-47,640,480,15,13823671.19,15.00,0.00,0.795,0.530,1.404
2025-10-22_14-18-48,640,480,15,13823893.21,15.00,0.00,0.939,0.550,2.564
2025-10-22_14-18-49,640,480,15,13823800.84,15.00,0.00,0.710,0.562,1.037
2025-10-22_14-18-50,640,480,15,13823949.71,15.00,0.00,0.817,0.578,1.473
2025-10-22_14-18-51,640,480,15,13823919.12,15.00,0.00,0.734,0.538,0.955
2025-10-22_14-18-52,640,480,15,13823807.20,15.00,0.00,0.874,0.546,2.709
2025-10-22_14-18-53,640,480,15,13823893.49,15.00,0.00,0.742,0.571,1.152
2025-10-22_14-18-54,640,480,15,13823718.29,15.00,0.00,0.777,0.518,1.147
2025-10-22_14-18-55,640,480,15,13823736.99,15.00,0.00,0.671,0.510,1.084
2025-10-22_14-18-56,640,480,15,13823979.76,15.00,0.00,0.726,0.532,1.157
2025-10-22_14-18-57,640,480,15,13819768.68,15.00,0.03,0.694,0.543,0.892
2025-10-22_14-18-58,640,480,15,13827934.16,15.00,-0.03,0.715,0.545,0.928
2025-10-22_14-18-59,640,480,15,13823857.20,15.00,0.00,0.761,0.529,1.292
2025-10-22_14-19-00,640,480,15,13823807.75,15.00,0.00,0.742,0.549,1.120
2025-10-22_14-19-01,640,480,15,13823714.28,15.00,0.00,0.845,0.507,1.583
2025-10-22_14-19-02,640,480,15,13823965.91,15.00,0.00,0.714,0.511,1.283
2025-10-22_14-19-03,640,480,15,13823755.54,15.00,0.00,0.819,0.598,1.914
