timestamp,width,height,fps,byte_rate,message_rate,frame_loss_pct,latency_avg_ms,latency_min_ms,latency_max_ms
2025-10-22_14-19-13,1280,720,30,82934540.82,30.00,0.01,3.936,2.656,9.777
2025-10-22_14-19-14,1280,720,30,82945677.83,30.00,-0.00,2.560,1.861,4.986
2025-10-22_14-19-15,1280,720,30,82943624.35,30.00,0.00,2.440,1.723,4.749
2025-10-22_14-19-16,1280,720,30,82942647.12,30.00,0.00,2.444,1.844,4.272
2025-10-22_14-19-17,1280,720,30,82943045.16,30.00,0.00,2.551,1.842,3.874
2025-10-22_14-19-18,1280,720,30,82943168.16,30.00,0.00,2.533,1.800,4.185
2025-10-22_14-19-19,1280,720,30,82943273.58,30.00,0.00,2.350,1.734,3.387
2025-10-22_14-19-20,1280,720,30,82942536.64,30.00,0.00,2.420,1.692,3.676
2025-10-22_14-19-21,1280,720,30,82878525.63,29.98,0.08,2.454,1.670,4.136
2025-10-22_14-19-22,1280,720,30,83007467.09,30.02,-0.08,2.465,1.798,3.856
2025-10-22_14-19-23,1280,720,30,82942972.00,30.00,0.00,2.360,1.716,3.387
2025-10-22_14-19-24,1280,720,30,82882309.21,29.98,0.07,3.010,2.016,6.891
2025-10-22_14-19-25,1280,720,30,83004639.95,30.02,-0.07,2.582,1.844,4.257
2025-10-22_14-19-26,1280,720,30,82942652.10,30.00,0.00,2.544,1.711,4.392
2025-10-22_14-19-27,1280,720,30,82943248.70,30.00,0.00,2.370,1.766,3.800
2025-10-22_14-19-28,1280,720,30,82942965.37,30.00,0.00,2.539,1.749,4.196
2025-10-22_14-19-29,1280,720,30,82943110.02,30.00,0.00,2.470,1.953,3.488
2025-10-22_14-19-30,1280,720,30,82943293.57,30.00,0.00,2.623,1.858,3.941
2025-10-22_14-19-31,1280,720,30,82942888.07,30.00,0.00,2.504,1.819,3.320
2025-10-22_14-19-32,1280,720,30,82942441.10,30.00,0.00,2.376,1.779,3.490
2025-10-22_14-19-33,1280,720,30,82943163.93,30.00,0.00,2.705,1.735,5.818
2025-10-22_14-19-34,1280,720,30,82942910.54,30.00,0.00,2.485,1.795,4.362
2025-10-22_14-19-35,1280,720,30,82943765.60,30.00,0.00,2.455,1.706,3.212
2025-10-22_14-19-36,1280,720,30,82940571.40,30.00,0.00,2.518,1.808,4.185
2025-10-22_14-19-37,1280,720,30,82927414.02,29.99,0.02,2.603,2.077,3.745
2025-10-22_14-19-38,1280,720,30,82960629.38,30.01,-0.02,2.490,1.872,3.741
2025-10-22_14-19-39,1280,720,30,82942836.56,30.00,0.00,2.567,1.780,4.462
2025-10-22_14-19-40,1280,720,30,82943357.60,30.00,0.00,2.444,1.958,3.694
2025-10-22_14-19-41,1280,720,30,82943041.84,30.00,0.00,2.672,1.820,6.171
2025-10-22_14-19-42,1280,720,30,82943582.79,30.00,0.00,2.602,1.826,7.361
2025-10-22_14-19-43,1280,720,30,82941959.05,30.00,0.00,2.317,1.901,3.161
2025-10-22_14-19-44,1280,720,30,82943154.81,30.00,0.00,2.594,1.950,3.751
2025-10-22_14-19-45,1280,720,30,82943687.55,30.00,0.00,2.541,1.853,3.887
2025-10-22_14-19-46,1280,720,30,82943772.24,30.00,0.00,2.591,1.835,3.536
2025-10-22_14-19-47,1280,720,30,82943218.01,30.00,0.00,2.715,2.124,4.078
2025-10-22_14-19-48,1280,720,30,82944270.90,30.00,-0.00,2.676,1.957,4.076
2025-10-22_14-19-49,1280,720,30,82940005.44,30.00,0.00,2.522,1.812,4.044
2025-10-22_14-19-50,1280,720,30,82943276.15,30.00,0.00,2.552,1.910,5.440
2025-10-22_14-19-51,1280,720,30,82943036.87,30.00,0.00,2.457,1.889,3.512
2025-10-22_14-19-52,1280,720,30,82943108.28,30.00,0.00,2.536,1.850,4.013
2025-10-22_14-19-53,1280,720,30,82941774.59,30.00,0.00,2.384,1.789,3.802
2025-10-22_14-19-54,1280,720,30,82944756.21,30.00,-0.00,2.522,2.016,4.099
2025-10-22_14-19-55,1280,720,30,82942682.79,30.00,0.00,2.446,1.887,3.499
2025-10-22_14-19-56,1280,720,30,82943559.57,30.00,0.00,2.645,1.946,5.066
2025-10-22_14-19-57,1280,720,30,82942150.14,30.00,0.00,2.573,1.918,4.888
2025-10-22_14-19-58,1280,720,30,82943116.66,30.00,0.00,2.752,1.921,5.486
2025-10-22_14-19-59,1280,720,30,82943610.17,30.00,0.00,3.163,2.027,13.866
2025-10-22_14-20-00,1280,720,30,82942739.35,30.00,0.00,2.495,1.922,3.458
2025-10-22_14-20-01,1280,720,30,82942442.67,30.00,0.00,2.381,1.810,4.209
2025-10-22_14-20-02,1280,720,30,82943578.73,30.00,0.00,2.523,1.921,3.894
2025-10-22_14-20-03,1280,720,30,82942331.28,30.00,0.00,2.565,1.869,4.461
2025-10-22_14-20-04,1280,720,30,82943785.59,30.00,0.00,2.465,1.831,3.169
2025-10-22_14-20-05,1280,720,30,82942398.63,30.00,0.00,2.495,1.705,3.654
2025-10-22_14-20-06,1280,720,30,82943808.81,30.00,0.00,2.413,1.953,4.068
2025-10-22_14-20-07,1280,720,30,82942561.53,30.00,0.00,2.461,1.889,3.997
2025-10-22_14-20-08,1280,720,30,82943011.90,30.00,0.00,2.779,1.923,4.573
2025-10-22_14-20-09,1280,720,30,82943213.03,30.00,0.00,2.482,1.933,3.926
2025-10-22_14-20-10,1280,720,30,82941637.41,30.00,0.00,2.522,1.852,3.889
2025-10-22_14-20-11,1280,720,30,82943312.73,30.00,0.00,2.701,1.938,3.940
2025-10-22_14-20-12,1280,720,30,82943638.53,30.00,0.00,2.505,1.782,4.906
2025-10-22_14-20-13,1280,720,30,82938740.77,30.00,0.01,2.601,1.894,4.664
